data_ref,total_medicoes,media_umidade,min_umidade,max_umidade,qtd_bom,qtd_ruim,pct_bom,pct_ruim,classificacao_dia
2026-03-02,7,6.8428571428571425,4.0,9.299999999999999,1,6,0.143,0.857,dia_ruim
2026-03-03,11,7.854545454545454,3.9,10.0,4,7,0.364,0.636,dia_misto
2026-03-04,10,6.9,3.6999999999999997,9.5,2,8,0.2,0.8,dia_ruim
2026-03-05,4,5.449999999999999,4.5,6.3999999999999995,0,4,0.0,1.0,dia_ruim
2026-03-06,10,5.0200000000000005,2.5,9.0,1,9,0.1,0.9,dia_ruim
2026-03-07,11,8.263636363636364,5.5,11.2,6,5,0.545,0.455,dia_misto
2026-03-09,9,6.522222222222222,5.0,9.0,1,8,0.111,0.889,dia_ruim
2026-03-10,8,9.1875,8.1,10.299999999999999,5,3,0.625,0.375,dia_misto
2026-03-11,11,9.372727272727273,7.8,11.2,8,3,0.727,0.273,dia_misto
2026-03-12,12,9.258333333333333,8.6,10.0,11,1,0.917,0.083,dia_bom
2026-03-13,5,8.940000000000001,8.4,9.5,3,2,0.6,0.4,dia_misto
2026-03-14,2,10.1,8.2,12.0,1,1,0.5,0.5,dia_misto
2026-03-15,8,8.725,7.3,11.2,3,5,0.375,0.625,dia_misto
2026-03-16,8,7.25,6.0,8.7,0,8,0.0,1.0,dia_ruim
2026-03-17,12,6.741666666666667,4.0,11.0,2,10,0.167,0.833,dia_ruim
